"Cont_Target","tmin_L16","tmax_L17","tmean_L17","ndvi_L0","Agr","Gra","For","Wat","Ope","Par","Edu","Hea","Cem","Mil","Gov","Ind","Com","Tra","Inf.","Vlo","Low","Med","Hig","Vhi","RND","FloodRisk","l_sgpm_L6","uw_L5","vw_L11","rh_L4"
0,23.6524166,40.07916227,31.93498792,0.186257143,0,0,0,0,0,0,3.864585521,0.942580557,0,0,0.054557638,0,17.98804698,0,0,0,0,76.72790017,0,0,0.023453354,0.411968955,1.324471884,-2.338952654,-0.678812212,78.50664952
0.736351223,23.49661407,40.81699946,32.21080666,0.190666667,0,0,0,0,0,0,3.479904225,0,0,0,0,23.40637168,25.01768373,0,0,0,28.27204346,0,19.82399691,0,0.019063283,0.861940401,1.331288934,-2.881216109,-0.296013276,79.03892743
0.04454587,21.93178631,33.47816075,27.7488084,0.482768182,10.86977809,10.04848313,18.71352985,0,2.971425153,3.28929518,0.286528172,0,0,0,0,0,0,0,10.75440473,6.94740181,7.426245265,19.65433939,7.676996996,0,0.011656513,0.54075893,1.479892984,-2.849752062,-0.604243782,80.06645246
0,22.80253229,40.46062704,31.6902549,0.293357724,0,0,0,0,15.28056811,0,0,0,0,0,0.085298811,34.67188215,0,0,0.016064976,1.823152953,0,13.04389324,10.85207854,24.22652626,0.015208924,0.134350061,1.329072649,-3.049052718,-0.267295528,79.66509371
0,23.43351142,40.71888429,32.12620678,0.166859375,0,0,0,7.902010479,0.128466476,0,0,0,0,0.110631679,0,22.57822674,32.07097964,0,0.003908997,0,0.465017591,21.92029823,0,11.86946469,0.018480562,0.653049316,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.68289974,37.25748284,30.51394366,0.358306358,0,1.197216063,0,0,5.417182912,0,0,0,0.476900146,0.163087579,0,43.39502648,1.926604656,0,0.145285139,1.034120296,0,24.44062715,9.01598791,1.544881394,0.009840488,0.253317,1.331288934,-3.047808864,-0.268801306,79.66513423
0,23.95852433,39.88015461,31.96886559,0.1693,0,0,0,0,0,0,5.293548775,3.195480125,0,0,0,0,21.35633341,0,0,0,0,68.95483493,0,0.03553479,0.026464343,0.535160229,1.331288934,-2.881216109,-0.296013276,79.03892743
0,23.5457794,40.46638169,32.05717336,0.193311741,0,0,0,0,0,0.607222708,2.040662037,1.41803657,0.603519952,0,0,2.580935792,10.39762935,0,4.007112317,1.18420807,3.299916537,67.18314282,4.682901549,1.002825152,0.020955263,0.57677186,1.324471884,-2.338952654,-0.678812212,78.50664952
0,23.49908533,42.09672034,32.81252526,0.132734375,0,0,0,0,0,0,1.3386901,0,0,0,0.414051118,37.33519331,21.20301547,0,1.199524886,0,0,2.427840072,19.33030674,10.81231701,0.013576726,0.451021079,1.267978708,-2.338952654,-0.678812212,78.50664952
0,23.61359723,39.78843488,31.70597357,0.145,0,0,0,0,0,0,0.002801818,0,0,0,4.958288748,0.70086013,22.51202928,0,0,0,0,65.39769416,6.42832586,0,0.021354238,0.73395601,1.331288934,-2.881216109,-0.296013276,79.03892743
